time_utc,IBS_BatteryDefect,IBS_Sulfation,IBS_EngineStart,IBS_PowerOn,IBS_LowVoltage,IBS_WakeupStatus,IBS_SOCUpperTolerance,IBS_SOCLowerTolerance,IBS_CapacityLossTop,IBS_CapacityLossBottom,IBS_BatteryCurrent,IBS_BatteryVoltage,IBS_BatteryTemperature,IBS_Error,IBS_CurrentAutorange,IBS_StateOfCharge,IBS_StateOfHealth,IBS_EstVoltaDrop,IBS_OptChargeVolt,IBS_AvgRi,IBS_AvailableCapacity,IBS_DischargeableAh,IBS_NominalCapacity,IBS_Recalibrated,VCU_ChrgSysOperCmd
2025-08-21 02:17:18+00:00,0,1,0,0,0,0,1,11,10,0,27.78,13.953,33.0,0,2,72.0,90,0,13.9,6.14,45,36.1,50,0,0
2025-08-21 02:17:19+00:00,0,1,0,0,0,0,1,11,10,0,27.855,13.954,33.0,0,2,72.0,90,0,13.9,6.14,45,36.1,50,0,0
2025-08-21 02:17:20+00:00,0,1,0,0,0,0,1,11,10,0,27.773,13.954,33.0,0,2,72.0,90,0,13.9,6.14,45,36.1,50,0,0
2025-08-21 02:17:21+00:00,0,1,0,0,0,0,1,11,10,0,27.678,13.952,33.0,0,2,72.0,90,0,13.9,6.14,45,36.1,50,0,0
2025-08-21 02:17:22+00:00,0,1,0,0,0,0,1,11,10,0,27.712,13.953,33.5,0,2,72.0,90,0,13.9,6.14,45,36.1,50,0,0
2025-08-21 02:17:23+00:00,0,1,0,0,0,0,1,11,10,0,27.648,13.952,33.5,0,2,72.0,90,0,13.9,6.14,45,36.1,50,0,0
2025-08-21 02:17:24+00:00,0,1,0,0,0,0,1,11,10,0,27.683,13.953,33.5,0,2,72.0,90,0,13.9,6.14,45,36.2,50,0,0
2025-08-21 02:17:25+00:00,0,1,0,0,0,0,1,11,10,0,27.677,13.953,33.5,0,2,72.0,90,0,13.9,6.14,45,36.2,50,0,0
2025-08-21 02:17:26+00:00,0,1,0,0,0,0,1,11,10,0,27.637,13.954,33.5,0,2,72.0,90,0,13.9,6.14,45,36.2,50,0,0
2025-08-21 02:17:27+00:00,0,1,0,0,0,0,1,11,10,0,27.578,13.953,33.5,0,2,72.0,90,0,13.9,6.14,45,36.2,50,0,0
2025-08-21 02:17:28+00:00,0,1,0,0,0,0,1,11,10,0,27.571,13.953,33.5,0,2,72.0,90,0,13.9,6.14,45,36.2,50,0,0
2025-08-21 02:17:29+00:00,0,1,0,0,0,0,1,11,10,0,27.538,13.954,33.5,0,2,72.0,90,0,13.9,6.14,45,36.2,50,0,0
2025-08-21 02:17:30+00:00,0,1,0,0,0,0,1,11,10,0,27.491,13.953,33.5,0,2,72.0,90,0,13.9,6.14,45,36.2,50,0,0
2025-08-21 02:17:31+00:00,0,1,0,0,0,0,1,11,10,0,27.518,13.954,33.5,0,2,72.0,90,0,13.9,6.14,45,36.2,50,0,0
2025-08-21 02:17:32+00:00,0,1,0,0,0,0,1,11,10,0,27.486,13.955,33.5,0,2,72.0,90,0,13.9,6.14,45,36.2,50,0,0
2025-08-21 02:17:33+00:00,0,1,0,0,0,0,1,11,10,0,27.454,13.954,33.5,0,2,72.0,90,0,13.9,6.14,45,36.2,50,0,0
2025-08-21 02:17:34+00:00,0,1,0,0,0,0,1,11,10,0,27.404,13.954,33.5,0,2,72.0,90,0,13.9,6.14,45,36.2,50,0,0
2025-08-21 02:17:35+00:00,0,1,0,0,0,0,1,11,10,0,27.366,13.955,33.5,0,2,72.0,90,0,13.9,6.14,45,36.2,50,0,0
2025-08-21 02:17:36+00:00,0,1,0,0,0,0,1,11,10,0,27.278,13.954,33.5,0,2,72.0,90,0,13.9,6.14,45,36.2,50,0,0
2025-08-21 02:17:37+00:00,0,1,0,0,0,0,1,11,10,0,27.249,13.954,33.5,0,2,72.5,90,0,13.9,6.14,45,36.3,50,0,0
2025-08-21 02:17:38+00:00,0,1,0,0,0,0,1,11,10,0,27.235,13.955,33.5,0,2,72.5,90,0,13.9,6.14,45,36.3,50,0,0
2025-08-21 02:17:39+00:00,0,1,0,0,0,0,1,11,10,0,26.806,13.945,33.5,0,2,72.5,90,0,13.9,6.14,45,36.3,50,0,0
2025-08-21 02:17:40+00:00,0,1,0,0,0,0,1,11,10,0,26.735,13.942,33.5,0,2,72.5,90,0,13.9,6.14,45,36.3,50,0,0
2025-08-21 02:17:41+00:00,0,1,0,0,0,0,1,11,10,0,26.975,13.949,33.5,0,2,72.5,90,0,13.9,6.14,45,36.3,50,0,0
2025-08-21 02:17:42+00:00,0,1,0,0,0,0,1,11,10,0,26.965,13.95,33.5,0,2,72.5,90,0,13.9,6.14,45,36.3,50,0,0
2025-08-21 02:17:43+00:00,0,1,0,0,0,0,1,11,10,0,26.936,13.951,33.5,0,2,72.5,90,0,13.9,6.14,45,36.3,50,0,0
2025-08-21 02:17:44+00:00,0,1,0,0,0,0,1,11,10,0,26.844,13.95,33.5,0,2,72.5,90,0,13.9,6.14,45,36.3,50,0,0
2025-08-21 02:17:45+00:00,0,1,0,0,0,0,1,11,10,0,26.851,13.951,33.5,0,2,72.5,90,0,13.9,6.14,45,36.3,50,0,0
2025-08-21 02:17:46+00:00,0,1,0,0,0,0,1,11,10,0,26.798,13.951,33.5,0,2,72.5,90,0,13.9,6.14,45,36.3,50,0,0
2025-08-21 02:17:47+00:00,0,1,0,0,0,0,1,11,10,0,26.802,13.952,33.5,0,2,72.5,90,0,13.9,6.14,45,36.3,50,0,0
2025-08-21 02:17:48+00:00,0,1,0,0,0,0,1,11,10,0,26.668,13.951,33.5,0,2,72.5,90,0,13.9,6.14,45,36.3,50,0,0
2025-08-21 02:17:49+00:00,0,1,0,0,0,0,1,11,10,0,26.7,13.952,33.5,0,2,72.5,90,0,13.9,6.14,45,36.3,50,0,0
2025-08-21 02:17:50+00:00,0,1,0,0,0,0,1,11,10,0,26.585,13.951,33.5,0,2,72.5,90,0,13.9,6.14,45,36.3,50,0,0
