time_utc,VCU_ChrgSysOperCmd,IBS_BatteryDefect,IBS_Sulfation,IBS_EngineStart,IBS_PowerOn,IBS_LowVoltage,IBS_WakeupStatus,IBS_SOCUpperTolerance,IBS_SOCLowerTolerance,IBS_CapacityLossTop,IBS_CapacityLossBottom,IBS_BatteryCurrent,IBS_BatteryVoltage,IBS_BatteryTemperature,IBS_Error,IBS_CurrentAutorange,IBS_StateOfCharge,IBS_StateOfHealth,IBS_EstVoltaDrop,IBS_OptChargeVolt,IBS_AvgRi,IBS_AvailableCapacity,IBS_DischargeableAh,IBS_NominalCapacity,IBS_Recalibrated
2025-08-21 17:27:34+00:00,0,0,1,0,0,0,0,0,15,10,10,3.913,14.1,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:35+00:00,0,0,1,0,0,0,0,0,15,10,10,3.902,14.1,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:36+00:00,0,0,1,0,0,0,0,0,15,10,10,3.89,14.1,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:37+00:00,0,0,1,0,0,0,0,0,15,10,10,3.917,14.102,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:38+00:00,0,0,1,0,0,0,0,0,15,10,10,3.904,14.102,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:39+00:00,0,0,1,0,0,0,0,0,15,10,10,3.897,14.101,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:40+00:00,0,0,1,0,0,0,0,0,15,10,10,3.915,14.101,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:41+00:00,0,0,1,0,0,0,0,0,15,10,10,3.887,14.101,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:42+00:00,0,0,1,0,0,0,0,0,15,10,10,3.839,14.103,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:43+00:00,0,0,1,0,0,0,0,0,15,10,10,3.863,14.102,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:44+00:00,0,0,1,0,0,0,0,0,15,10,10,3.867,14.103,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:45+00:00,0,0,1,0,0,0,0,0,15,10,10,3.86,14.104,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:46+00:00,0,0,1,0,0,0,0,0,15,10,10,3.853,14.105,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:47+00:00,0,0,1,0,0,0,0,0,15,10,10,3.866,14.103,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:48+00:00,0,0,1,0,0,0,0,0,15,10,10,3.852,14.1,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:49+00:00,0,0,1,0,0,0,0,0,15,10,10,3.839,14.103,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:50+00:00,0,0,1,0,0,0,0,0,15,10,10,3.846,14.102,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:51+00:00,0,0,1,0,0,0,0,0,15,10,10,3.814,14.1,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:52+00:00,0,0,1,0,0,0,0,0,15,10,10,3.832,14.101,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:53+00:00,0,0,1,0,0,0,0,0,15,10,10,3.819,14.1,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:54+00:00,0,0,1,0,0,0,0,0,15,10,10,3.792,14.101,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:55+00:00,0,0,1,0,0,0,0,0,15,10,10,3.825,14.101,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:56+00:00,0,0,1,0,0,0,0,0,15,10,10,3.789,14.103,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:57+00:00,0,0,1,0,0,0,0,0,15,10,10,3.785,14.102,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:58+00:00,0,0,1,0,0,0,0,0,15,10,10,3.829,14.102,35.5,0,2,90.0,80,0,13.85,6.13,40,40.2,50,1
2025-08-21 17:27:59+00:00,0,0,1,0,0,0,0,0,15,10,10,3.804,14.104,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:00+00:00,0,0,1,0,0,0,0,0,15,10,10,3.774,14.102,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:01+00:00,0,0,1,0,0,0,0,0,15,10,10,3.764,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:02+00:00,0,0,1,0,0,0,0,0,15,10,10,3.746,14.101,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:03+00:00,0,0,1,0,0,0,0,0,15,10,10,3.762,14.101,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:04+00:00,0,0,1,0,0,0,0,0,15,10,10,3.789,14.104,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:05+00:00,0,0,1,0,0,0,0,0,15,10,10,3.748,14.101,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:06+00:00,0,0,1,0,0,0,0,0,15,10,10,3.751,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:07+00:00,0,0,1,0,0,0,0,0,15,10,10,3.74,14.102,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:08+00:00,0,0,1,0,0,0,0,0,15,10,10,3.743,14.105,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:09+00:00,0,0,1,0,0,0,0,0,15,10,10,3.718,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:10+00:00,0,0,1,0,0,0,0,0,15,10,10,3.735,14.102,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:11+00:00,0,0,1,0,0,0,0,0,15,10,10,3.725,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:12+00:00,0,0,1,0,0,0,0,0,15,10,10,3.729,14.102,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:13+00:00,0,0,1,0,0,0,0,0,15,10,10,3.696,14.104,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:14+00:00,0,0,1,0,0,0,0,0,15,10,10,3.723,14.101,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:15+00:00,0,0,1,0,0,0,0,0,15,10,10,3.744,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:16+00:00,0,0,1,0,0,0,0,0,15,10,10,3.724,14.104,35.5,0,1,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:17+00:00,0,0,1,0,0,0,0,0,15,10,10,3.693,14.101,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:18+00:00,0,0,1,0,0,0,0,0,15,10,10,3.709,14.102,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:19+00:00,0,0,1,0,0,0,0,0,15,10,10,3.694,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:20+00:00,0,0,1,0,0,0,0,0,15,10,10,3.699,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:21+00:00,0,0,1,0,0,0,0,0,15,10,10,3.683,14.104,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:22+00:00,0,0,1,0,0,0,0,0,15,10,10,3.653,14.101,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:23+00:00,0,0,1,0,0,0,0,0,15,10,10,3.67,14.102,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:24+00:00,0,0,1,0,0,0,0,0,15,10,10,3.663,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:25+00:00,0,0,1,0,0,0,0,0,15,10,10,3.675,14.102,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:26+00:00,0,0,1,0,0,0,0,0,15,10,10,3.661,14.101,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:27+00:00,0,0,1,0,0,0,0,0,15,10,10,3.635,14.106,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:28+00:00,0,0,1,0,0,0,0,0,15,10,10,3.638,14.102,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:29+00:00,0,0,1,0,0,0,0,0,15,10,10,3.642,14.1,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:30+00:00,0,0,1,0,0,0,0,0,15,10,10,3.662,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:31+00:00,0,0,1,0,0,0,0,0,15,10,10,3.662,14.104,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:32+00:00,0,0,1,0,0,0,0,0,15,10,10,3.64,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:33+00:00,0,0,1,0,0,0,0,0,15,10,10,3.66,14.102,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:34+00:00,0,0,1,0,0,0,0,0,15,10,10,3.638,14.102,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:35+00:00,0,0,1,0,0,0,0,0,15,10,10,3.609,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:36+00:00,0,0,1,0,0,0,0,0,15,10,10,3.638,14.102,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:37+00:00,0,0,1,0,0,0,0,0,15,10,10,3.595,14.102,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:38+00:00,0,0,1,0,0,0,0,0,15,10,10,3.624,14.104,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:39+00:00,0,0,1,0,0,0,0,0,15,10,10,3.62,14.102,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:40+00:00,0,0,1,0,0,0,0,0,15,10,10,3.603,14.105,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:41+00:00,0,0,1,0,0,0,0,0,15,10,10,3.619,14.102,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:42+00:00,0,0,1,0,0,0,0,0,15,10,10,3.603,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:43+00:00,0,0,1,0,0,0,0,0,15,10,10,3.586,14.101,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:44+00:00,0,0,1,0,0,0,0,0,15,10,10,3.567,14.101,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:45+00:00,0,0,1,0,0,0,0,0,15,10,10,3.588,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:46+00:00,0,0,1,0,0,0,0,0,15,10,10,3.592,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:47+00:00,0,0,1,0,0,0,0,0,15,10,10,3.583,14.104,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:48+00:00,0,0,1,0,0,0,0,0,15,10,10,3.561,14.101,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:49+00:00,0,0,1,0,0,0,0,0,15,10,10,3.567,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:50+00:00,0,0,1,0,0,0,0,0,15,10,10,3.571,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:51+00:00,0,0,1,0,0,0,0,0,15,10,10,3.569,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:52+00:00,0,0,1,0,0,0,0,0,15,10,10,3.554,14.104,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:53+00:00,0,0,1,0,0,0,0,0,15,10,10,3.566,14.103,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:54+00:00,0,0,1,0,0,0,0,0,15,10,10,3.552,14.102,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:55+00:00,0,0,1,0,0,0,0,0,15,10,10,3.554,14.102,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:56+00:00,0,0,1,0,0,0,0,0,15,10,10,3.56,14.104,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
2025-08-21 17:28:57+00:00,0,0,1,0,0,0,0,0,15,10,10,3.52,14.101,35.5,0,2,90.5,80,0,13.85,6.13,40,40.3,50,1
