time_utc,VCU_ChrgSysOperCmd,IBS_BatteryDefect,IBS_Sulfation,IBS_EngineStart,IBS_PowerOn,IBS_LowVoltage,IBS_WakeupStatus,IBS_SOCUpperTolerance,IBS_SOCLowerTolerance,IBS_CapacityLossTop,IBS_CapacityLossBottom,IBS_BatteryCurrent,IBS_BatteryVoltage,IBS_BatteryTemperature,IBS_Error,IBS_CurrentAutorange,IBS_StateOfCharge,IBS_StateOfHealth,IBS_EstVoltaDrop,IBS_OptChargeVolt,IBS_AvgRi,IBS_AvailableCapacity,IBS_DischargeableAh,IBS_NominalCapacity,IBS_Recalibrated
2025-06-29 12:10:35+00:00,0,0,1,0,0,0,0,5,4,22,12,11.668,14.042,22.5,0,2,73.0,66,0,14.05,6.07,33,30.5,50,0
2025-06-29 12:10:36+00:00,0,0,1,0,0,0,0,5,4,22,12,11.644,14.042,22.5,0,2,73.0,66,0,14.05,6.07,33,30.5,50,0
2025-06-29 12:10:37+00:00,0,0,1,0,0,0,0,5,4,22,12,11.573,14.041,22.5,0,2,73.0,66,0,14.05,6.07,33,30.5,50,0
2025-06-29 12:10:38+00:00,0,0,1,0,0,0,0,5,4,22,12,11.525,14.041,22.5,0,2,73.0,66,0,14.05,6.07,33,30.6,50,0
2025-06-29 12:10:39+00:00,0,0,1,0,0,0,0,5,4,22,12,11.504,14.042,22.5,0,2,73.0,66,0,14.05,6.07,33,30.6,50,0
2025-06-29 12:10:40+00:00,0,0,1,0,0,0,0,5,4,22,12,11.493,14.042,22.5,0,2,73.0,66,0,14.05,6.07,33,30.6,50,0
2025-06-29 12:10:41+00:00,0,0,1,0,0,0,0,5,4,22,12,11.437,14.043,22.5,0,2,73.0,66,0,14.05,6.07,33,30.6,50,0
2025-06-29 12:10:42+00:00,0,0,1,0,0,0,0,5,4,22,12,11.381,14.042,22.5,0,2,73.0,66,0,14.05,6.07,33,30.6,50,0
2025-06-29 12:10:43+00:00,0,0,1,0,0,0,0,5,4,22,12,11.342,14.042,22.5,0,2,73.0,66,0,14.05,6.07,33,30.6,50,0
2025-06-29 12:10:44+00:00,0,0,1,0,0,0,0,5,4,22,12,11.32,14.043,22.5,0,2,73.0,66,0,14.05,6.07,33,30.6,50,0
2025-06-29 12:10:45+00:00,0,0,1,0,0,0,0,5,4,22,12,11.28,14.044,22.5,0,2,73.0,66,0,14.05,6.07,33,30.6,50,0
2025-06-29 12:10:46+00:00,0,0,1,0,0,0,0,5,4,22,12,11.254,14.045,22.5,0,2,73.0,66,0,14.05,6.07,33,30.6,50,0
2025-06-29 12:10:47+00:00,0,0,1,0,0,0,0,5,4,22,12,11.209,14.044,22.5,0,2,73.0,66,0,14.05,6.07,33,30.6,50,0
2025-06-29 12:10:48+00:00,0,0,1,0,0,0,0,5,4,22,12,11.155,14.042,22.5,0,2,73.0,66,0,14.05,6.07,33,30.6,50,0
2025-06-29 12:10:49+00:00,0,0,1,0,0,0,0,5,4,22,12,11.105,14.044,22.5,0,2,73.0,66,0,14.05,6.07,33,30.6,50,0
2025-06-29 12:10:50+00:00,0,0,1,0,0,0,0,5,4,22,12,11.06,14.044,22.5,0,2,73.0,66,0,14.05,6.07,33,30.6,50,0
2025-06-29 12:10:51+00:00,0,0,1,0,0,0,0,5,4,22,12,11.024,14.037,22.5,0,2,73.0,66,0,14.05,6.07,33,30.6,50,0
2025-06-29 12:10:52+00:00,0,0,1,0,0,0,0,5,4,22,12,10.985,14.042,22.5,0,2,73.0,66,0,14.05,6.07,33,30.6,50,0
2025-06-29 12:10:53+00:00,0,0,1,0,0,0,0,5,4,22,12,10.92,14.04,22.5,0,2,73.0,66,0,14.05,6.07,33,30.6,50,0
2025-06-29 12:10:54+00:00,0,0,1,0,0,0,0,5,4,22,12,10.851,14.039,22.5,0,2,73.0,66,0,14.05,6.07,33,30.6,50,0
