time_utc,VCU_ChrgSysOperCmd,IBS_BatteryDefect,IBS_Sulfation,IBS_EngineStart,IBS_PowerOn,IBS_LowVoltage,IBS_WakeupStatus,IBS_SOCUpperTolerance,IBS_SOCLowerTolerance,IBS_CapacityLossTop,IBS_CapacityLossBottom,IBS_BatteryCurrent,IBS_BatteryVoltage,IBS_BatteryTemperature,IBS_Error,IBS_CurrentAutorange,IBS_StateOfCharge,IBS_StateOfHealth,IBS_EstVoltaDrop,IBS_OptChargeVolt,IBS_AvgRi,IBS_AvailableCapacity,IBS_DischargeableAh,IBS_NominalCapacity,IBS_Recalibrated
2025-06-29 10:07:06+00:00,0,0,0,0,0,0,0,21,2,0,0,-6.483,12.726,25.5,0,2,87,100,0,14,0,50,43.7,50,1
2025-06-29 10:07:07+00:00,0,0,0,0,0,0,0,21,2,0,0,-10.496,12.635,25.5,0,2,87,100,0,14,0,50,43.7,50,1
2025-06-29 10:07:08+00:00,0,0,0,0,0,0,0,21,2,0,0,3.154,12.887,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:09+00:00,0,0,0,0,0,0,0,21,2,0,0,14.702,14.048,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:10+00:00,0,0,0,0,0,0,0,21,2,0,0,11.886,14.059,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:11+00:00,0,0,0,0,0,0,0,21,2,0,0,11.428,14.071,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:12+00:00,0,0,0,0,0,0,0,21,2,0,0,11.335,14.07,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:13+00:00,0,0,0,0,0,0,0,21,2,0,0,11.312,14.069,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:14+00:00,0,0,0,0,0,0,0,21,2,0,0,11.276,14.069,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:15+00:00,0,0,0,0,0,0,0,21,2,0,0,11.243,14.07,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:16+00:00,0,0,0,0,0,0,0,21,2,0,0,11.184,14.072,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:17+00:00,0,0,0,0,0,0,0,21,2,0,0,11.119,14.072,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:18+00:00,0,0,0,0,0,0,0,21,2,0,0,11.025,14.071,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:19+00:00,0,0,0,0,0,0,0,21,2,0,0,10.96,14.073,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:20+00:00,0,0,0,0,0,0,0,21,2,0,0,10.868,14.072,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:21+00:00,0,0,0,0,0,0,0,21,2,0,0,10.787,14.072,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:22+00:00,0,0,0,0,0,0,0,21,2,0,0,10.667,14.071,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:23+00:00,0,0,0,0,0,0,0,21,2,0,0,10.564,14.075,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:24+00:00,0,0,0,0,0,0,0,21,2,0,0,10.455,14.074,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:25+00:00,0,0,0,0,0,0,0,21,2,0,0,10.356,14.073,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:26+00:00,0,0,0,0,0,0,0,21,2,0,0,10.225,14.073,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:27+00:00,0,0,0,0,0,0,0,21,2,0,0,10.106,14.073,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:28+00:00,0,0,0,0,0,0,0,21,2,0,0,10.008,14.076,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:29+00:00,0,0,0,0,0,0,0,21,2,0,0,9.866,14.076,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:30+00:00,0,0,0,0,0,0,0,21,2,0,0,9.793,14.076,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:31+00:00,0,0,0,0,0,0,0,21,2,0,0,9.646,14.076,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:32+00:00,0,0,0,0,0,0,0,21,2,0,0,9.524,14.075,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:33+00:00,0,0,0,0,0,0,0,21,2,0,0,9.446,14.078,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:34+00:00,0,0,0,0,0,0,0,21,2,0,0,9.323,14.076,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:35+00:00,0,0,0,0,0,0,0,21,2,0,0,9.213,14.079,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:36+00:00,0,0,0,0,0,0,0,21,2,0,0,9.105,14.078,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:37+00:00,0,0,0,0,0,0,0,21,2,0,0,8.998,14.078,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:38+00:00,0,0,0,0,0,0,0,21,2,0,0,8.93,14.08,25.5,0,2,87,100,0,14,0,50,43.6,50,1
2025-06-29 10:07:39+00:00,0,0,0,0,0,0,0,21,2,0,0,8.792,14.079,25.5,0,2,87,100,0,14,0,50,43.6,50,1
