time_utc,IBS_BatteryDefect,IBS_Sulfation,IBS_EngineStart,IBS_PowerOn,IBS_LowVoltage,IBS_WakeupStatus,IBS_SOCUpperTolerance,IBS_SOCLowerTolerance,IBS_CapacityLossTop,IBS_CapacityLossBottom,IBS_BatteryCurrent,IBS_BatteryVoltage,IBS_BatteryTemperature,IBS_Error,IBS_CurrentAutorange,IBS_StateOfCharge,IBS_StateOfHealth,IBS_EstVoltaDrop,IBS_OptChargeVolt,IBS_AvgRi,IBS_AvailableCapacity,IBS_DischargeableAh,IBS_NominalCapacity,IBS_Recalibrated
2025-08-16 03:18:17+00:00,0,1,0,0,0,0,4,11,10,0,-13.992,12.573,29.0,0,2,77.0,90,0,13.95,6.14,45,38.7,50,0
2025-08-16 03:18:18+00:00,0,1,0,0,0,0,4,11,10,0,-14.008,12.573,29.0,0,2,77.0,90,0,13.95,6.14,45,38.7,50,0
2025-08-16 03:18:19+00:00,0,1,0,0,0,0,4,11,10,0,-14.038,12.572,29.0,0,2,77.0,90,0,13.95,6.14,45,38.7,50,0
2025-08-16 03:18:20+00:00,0,1,0,0,0,0,4,11,10,0,-14.017,12.572,29.0,0,2,77.0,90,0,13.95,6.14,45,38.7,50,0
2025-08-16 03:18:21+00:00,0,1,0,0,0,0,4,11,10,0,-14.011,12.572,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:22+00:00,0,1,0,0,0,0,4,11,10,0,-13.993,12.572,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:23+00:00,0,1,0,0,0,0,4,11,10,0,-14.071,12.571,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:24+00:00,0,1,0,0,0,0,4,11,10,0,-14.08,12.57,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:25+00:00,0,1,0,0,0,0,4,11,10,0,-14.08,12.57,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:26+00:00,0,1,0,0,0,0,4,11,10,0,-14.08,12.57,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:27+00:00,0,1,0,0,0,0,4,11,10,0,-14.08,12.57,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:28+00:00,0,1,0,0,0,0,4,11,10,0,-14.08,12.57,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:29+00:00,0,1,0,0,0,0,4,11,10,0,-14.08,12.57,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:30+00:00,0,1,0,0,0,0,4,11,10,0,-14.08,12.57,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:31+00:00,0,1,0,0,0,0,4,11,10,0,-14.08,12.57,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:32+00:00,0,1,0,0,0,0,4,11,10,0,-14.08,12.57,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:33+00:00,0,1,0,0,0,0,4,11,10,0,-14.08,12.57,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:34+00:00,0,1,0,0,0,0,4,11,10,0,-14.08,12.57,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:35+00:00,0,1,0,0,0,0,4,11,10,0,-14.08,12.57,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:36+00:00,0,1,0,0,0,0,4,11,10,0,-14.08,12.57,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:37+00:00,0,1,0,0,0,0,4,11,10,0,-14.08,12.57,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:38+00:00,0,1,0,0,0,0,4,11,10,0,-14.08,12.57,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:39+00:00,0,1,0,0,0,0,4,11,10,0,-8.985,12.705,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:40+00:00,0,1,0,0,0,0,4,11,10,0,-9.791,12.676,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:41+00:00,0,1,0,0,0,0,4,11,10,0,-11.341,12.647,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:42+00:00,0,1,0,0,0,0,4,11,10,0,-13.156,12.616,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:43+00:00,0,1,0,0,0,0,4,11,10,0,-15.661,12.579,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:44+00:00,0,1,0,0,0,0,4,11,10,0,-14.371,12.577,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:45+00:00,0,1,0,0,0,0,4,11,10,0,-15.503,12.562,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:46+00:00,0,1,0,0,0,0,4,11,10,0,-15.43,12.557,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:47+00:00,0,1,0,0,0,0,4,11,10,0,-15.623,12.552,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:48+00:00,0,1,0,0,0,0,4,11,10,0,-15.733,12.548,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:49+00:00,0,1,0,0,0,0,4,11,10,0,-15.682,12.546,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:50+00:00,0,1,0,0,0,0,4,11,10,0,-15.767,12.544,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:51+00:00,0,1,0,0,0,0,4,11,10,0,-15.209,12.549,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:52+00:00,0,1,0,0,0,0,4,11,10,0,-15.404,12.547,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
2025-08-16 03:18:53+00:00,0,1,0,0,0,0,4,11,10,0,-15.269,12.547,29.0,0,2,77.0,90,0,13.95,6.14,45,38.6,50,0
