time_utc,VCU_ChrgSysOperCmd,IBS_BatteryDefect,IBS_Sulfation,IBS_EngineStart,IBS_PowerOn,IBS_LowVoltage,IBS_WakeupStatus,IBS_SOCUpperTolerance,IBS_SOCLowerTolerance,IBS_CapacityLossTop,IBS_CapacityLossBottom,IBS_BatteryCurrent,IBS_BatteryVoltage,IBS_BatteryTemperature,IBS_Error,IBS_CurrentAutorange,IBS_StateOfCharge,IBS_StateOfHealth,IBS_EstVoltaDrop,IBS_OptChargeVolt,IBS_AvgRi,IBS_AvailableCapacity,IBS_DischargeableAh,IBS_NominalCapacity,IBS_Recalibrated
2025-08-18 13:03:29+00:00,0,0,1,0,0,0,0,0,13,10,0,-0.401,12.567,21.0,0,1,72.0,90,0,14.1,6.14,45,36.0,50,0
2025-08-18 13:03:30+00:00,0,0,1,0,0,0,0,0,13,10,0,-8.123,12.428,21.0,0,2,72.0,90,0,14.1,6.14,45,36.0,50,0
2025-08-18 13:03:31+00:00,0,0,1,0,0,0,0,0,13,10,0,-11.464,12.331,21.0,0,2,72.0,90,0,14.1,6.14,45,36.0,50,0
2025-08-18 13:03:32+00:00,0,0,1,0,0,0,0,0,13,10,0,13.348,13.136,21.0,0,2,72.0,90,0,14.1,6.14,45,36.0,50,0
2025-08-18 13:03:33+00:00,0,0,1,0,0,0,0,0,13,10,0,13.803,14.04,21.0,0,2,72.0,90,0,14.1,6.14,45,36.0,50,0
2025-08-18 13:03:34+00:00,0,0,1,0,0,0,0,0,13,10,0,11.928,14.033,21.5,0,2,72.0,90,0,14.05,6.14,45,36.0,50,0
2025-08-18 13:03:35+00:00,0,0,1,0,0,0,0,0,13,10,0,11.393,14.041,21.5,0,2,72.0,90,0,14.05,6.14,45,36.0,50,0
2025-08-18 13:03:36+00:00,0,0,1,0,0,0,0,0,13,10,0,11.27,14.048,21.5,0,2,72.0,90,0,14.05,6.14,45,36.0,50,0
2025-08-18 13:03:37+00:00,0,0,1,0,0,0,0,0,13,10,0,11.103,14.043,21.5,0,2,72.0,90,0,14.05,6.14,45,36.0,50,0
2025-08-18 13:03:38+00:00,0,0,1,0,0,0,0,0,13,10,0,11.049,14.04,21.5,0,2,72.0,90,0,14.05,6.14,45,36.0,50,0
2025-08-18 13:03:39+00:00,0,0,1,0,0,0,0,0,13,10,0,10.998,14.029,21.0,0,2,72.0,90,0,14.1,6.14,45,36.0,50,0
2025-08-18 13:03:40+00:00,0,0,1,0,0,0,0,0,13,10,0,10.858,14.003,21.0,0,2,72.0,90,0,14.1,6.14,45,36.0,50,0
2025-08-18 13:03:41+00:00,0,0,1,0,0,0,0,0,13,10,0,11.057,14.014,21.0,0,2,72.0,90,0,14.1,6.14,45,36.0,50,0
2025-08-18 13:03:42+00:00,0,0,1,0,0,0,0,0,13,10,0,10.905,14.037,21.0,0,2,72.0,90,0,14.1,6.14,45,36.0,50,0
