time_utc,VCU_ChrgSysOperCmd,IBS_BatteryDefect,IBS_Sulfation,IBS_EngineStart,IBS_PowerOn,IBS_LowVoltage,IBS_WakeupStatus,IBS_SOCUpperTolerance,IBS_SOCLowerTolerance,IBS_CapacityLossTop,IBS_CapacityLossBottom,IBS_BatteryCurrent,IBS_BatteryVoltage,IBS_BatteryTemperature,IBS_Error,IBS_CurrentAutorange,IBS_StateOfCharge,IBS_StateOfHealth,IBS_EstVoltaDrop,IBS_OptChargeVolt,IBS_AvgRi,IBS_AvailableCapacity,IBS_DischargeableAh,IBS_NominalCapacity,IBS_Recalibrated
2025-06-26 17:39:25+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-14.047,12.203,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.6,50.0,0.0
2025-06-26 17:39:26+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-13.881,12.205,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.6,50.0,0.0
2025-06-26 17:39:27+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-13.906,12.204,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.6,50.0,0.0
2025-06-26 17:39:28+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-13.933,12.204,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.5,50.0,0.0
2025-06-26 17:39:29+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-13.928,12.204,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.5,50.0,0.0
2025-06-26 17:39:30+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-13.976,12.202,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.5,50.0,0.0
2025-06-26 17:39:31+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-13.961,12.203,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.5,50.0,0.0
2025-06-26 17:39:32+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-14.019,12.202,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.5,50.0,0.0
2025-06-26 17:39:33+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-14.116,12.2,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.5,50.0,0.0
2025-06-26 17:39:34+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-13.995,12.201,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.5,50.0,0.0
2025-06-26 17:39:35+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-13.948,12.202,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.5,50.0,0.0
2025-06-26 17:39:36+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-13.951,12.202,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.5,50.0,0.0
2025-06-26 17:39:37+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-13.936,12.202,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.5,50.0,0.0
2025-06-26 17:39:38+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-13.88,12.202,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.5,50.0,0.0
2025-06-26 17:39:39+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-13.971,12.201,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.5,50.0,0.0
2025-06-26 17:39:40+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-13.873,12.202,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.5,50.0,0.0
2025-06-26 17:39:41+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-13.886,12.202,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.5,50.0,0.0
2025-06-26 17:39:42+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-13.883,12.201,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.5,50.0,0.0
2025-06-26 17:39:43+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-13.859,12.201,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.5,50.0,0.0
2025-06-26 17:39:44+00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,22.0,12.0,-13.86,12.201,21.0,0.0,2.0,73.0,66.0,0.0,14.1,6.07,33.0,30.5,50.0,0.0
