time_utc,VCU_ChrgSysOperCmd,IBS_BatteryDefect,IBS_Sulfation,IBS_EngineStart,IBS_PowerOn,IBS_LowVoltage,IBS_WakeupStatus,IBS_SOCUpperTolerance,IBS_SOCLowerTolerance,IBS_CapacityLossTop,IBS_CapacityLossBottom,IBS_BatteryCurrent,IBS_BatteryVoltage,IBS_BatteryTemperature,IBS_Error,IBS_CurrentAutorange,IBS_StateOfCharge,IBS_StateOfHealth,IBS_EstVoltaDrop,IBS_OptChargeVolt,IBS_AvgRi,IBS_AvailableCapacity,IBS_DischargeableAh,IBS_NominalCapacity,IBS_Recalibrated
2025-10-04 19:33:21+00:00,0,0,1,0,0,0,0,3,15,24,10,3.037,14.104,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:22+00:00,0,0,1,0,0,0,0,3,15,24,10,3.035,14.103,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:23+00:00,0,0,1,0,0,0,0,3,15,24,10,3.049,14.103,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:24+00:00,0,0,1,0,0,0,0,3,15,24,10,3.054,14.101,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:25+00:00,0,0,1,0,0,0,0,3,15,24,10,3.028,14.103,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:26+00:00,0,0,1,0,0,0,0,3,15,24,10,3.045,14.104,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:27+00:00,0,0,1,0,0,0,0,3,15,24,10,3.038,14.102,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:28+00:00,0,0,1,0,0,0,0,3,15,24,10,3.033,14.102,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:29+00:00,0,0,1,0,0,0,0,3,15,24,10,3.036,14.103,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:30+00:00,0,0,1,0,0,0,0,3,15,24,10,3.031,14.101,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:31+00:00,0,0,1,0,0,0,0,3,15,24,10,3.046,14.105,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:32+00:00,0,0,1,0,0,0,0,3,15,24,10,3.018,14.104,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:33+00:00,0,0,1,0,0,0,0,3,15,24,10,3.014,14.102,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:34+00:00,0,0,1,0,0,0,0,3,15,24,10,3.018,14.103,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:35+00:00,0,0,1,0,0,0,0,3,15,24,10,3.026,14.102,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:36+00:00,0,0,1,0,0,0,0,3,15,24,10,3.019,14.102,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:37+00:00,0,0,1,0,0,0,0,3,15,24,10,2.998,14.105,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:38+00:00,0,0,1,0,0,0,0,3,15,24,10,3.0,14.103,28.0,0,1,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:39+00:00,0,0,1,0,0,0,0,3,15,24,10,2.992,14.103,28.0,0,1,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:40+00:00,0,0,1,0,0,0,0,3,15,24,10,2.983,14.103,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:41+00:00,0,0,1,0,0,0,0,3,15,24,10,3.015,14.104,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:42+00:00,0,0,1,0,0,0,0,3,15,24,10,2.996,14.104,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:43+00:00,0,0,1,0,0,0,0,3,15,24,10,2.989,14.103,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:44+00:00,0,0,1,0,0,0,0,3,15,24,10,2.981,14.103,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:45+00:00,0,0,1,0,0,0,0,3,15,24,10,2.987,14.102,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:46+00:00,0,0,1,0,0,0,0,3,15,24,10,2.987,14.104,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:47+00:00,0,0,1,0,0,0,0,3,15,24,10,2.976,14.105,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
2025-10-04 19:33:48+00:00,0,0,1,0,0,0,0,3,15,24,10,2.975,14.103,28.0,0,2,64.0,66,0,14.0,7.35,33,27.0,50,0
